Price,Area,Floor,Bedroom,Restroom,Address,Roadfrontage,Legal
5.25,70.0,3.0,4.0,4.0,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
2.8,17.0,5.0,6.0,4.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
6.0,60.0,4.0,4.0,4.0,"Tân Bình, Thành phố Hồ Chí Minh",True,
10.0,65.0,4.0,6.0,,"Quận 3, Thành phố Hồ Chí Minh",False,Good
4.7,113.0,,4.0,2.0,"Bình Tân, Thành phố Hồ Chí Minh",False,Good
5.5,56.0,2.0,3.0,3.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
4.9,40.0,3.0,3.0,3.0,"Tân Phú, Thành phố Hồ Chí Minh",False,
0.0015,132.0,4.0,4.0,,Thành phố Hồ Chí Minh,False,Good
9.99,72.0,3.0,7.0,8.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
1.95,42.0,2.0,2.0,2.0,"Bình Tân, Thành phố Hồ Chí Minh",False,Good
6.25,48.0,4.0,4.0,4.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,
4.7,30.0,,2.0,2.0,"Phú Nhuận, Thành phố Hồ Chí Minh",True,Good
6.7,96.0,4.0,4.0,,Thành phố Hồ Chí Minh,False,Good
13.7,126.0,1.0,2.0,2.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,
20.0,136.0,3.0,3.0,4.0,"Quận 9, Thành phố Hồ Chí Minh",True,Good
7.4,60.0,3.0,,3.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,Good
22.0,180.0,,,,Thành phố Hồ Chí Minh,True,Good
10.1,55.0,5.0,16.0,,"Bình Thạnh, Thành phố Hồ Chí Minh",True,Good
13.8,77.0,6.0,15.0,16.0,"Quận 7, Thành phố Hồ Chí Minh",True,Good
